id,town,area,latitude,longitude,region
07-002-0037,Minsk,capital,53.838741,27.570033,7
07-002-0038,Minsk,capital,53.842412,27.56679,7
07-002-0039,Minsk,capital,53.842412,27.56679,7
07-002-0040,Minsk,capital,53.847841,27.562882,7
07-002-0041,Minsk,capital,53.847841,27.562882,7
07-002-0042,Minsk,capital,53.860428,27.573761,7
07-002-0043,Minsk,capital,53.862472,27.562675,7
07-002-0044,Minsk,capital,53.862472,27.562675,7
07-002-0045,Minsk,capital,53.863858,27.562379,7
07-002-0046,Minsk,capital,53.858214,27.569431,7
07-002-0047,Minsk,capital,53.858214,27.569431,7
07-002-0048,Minsk,capital,53.868531,27.570922,7
07-002-0049,Minsk,capital,53.860996,27.573446,7
07-002-0050,Minsk,capital,53.865271,27.587981,7
07-002-0051,Minsk,capital,53.865271,27.587981,7
07-002-0052,Minsk,capital,53.86218,27.591413,7
07-002-0053,Minsk,capital,53.86218,27.591413,7
07-002-0054,Minsk,capital,53.861294,27.595194,7
07-002-0055,Minsk,capital,53.861294,27.595194,7
07-002-0056,Minsk,capital,53.868515,27.592059,7
07-002-0057,Minsk,capital,53.868515,27.592059,7
07-002-0058,Minsk,capital,53.868515,27.592059,7
07-002-0059,Minsk,capital,53.870123,27.591323,7
07-002-0060,Minsk,capital,53.870123,27.591323,7
07-002-0061,Minsk,capital,53.874339,27.571129,7
07-002-0062,Minsk,capital,53.874084,27.565577,7
07-002-0063,Minsk,capital,53.876085,27.564831,7
07-002-0064,Minsk,capital,53.876085,27.564831,7
07-002-0065,Minsk,capital,53.88558,27.568479,7
07-002-0066,Minsk,capital,53.88592,27.592571,7
07-002-0067,Minsk,capital,53.88592,27.592571,7
07-002-0068,Minsk,capital,53.88825,27.584621,7
07-002-0069,Minsk,capital,53.896809,27.566044,7
07-002-0070,Minsk,capital,53.898178,27.566844,7
07-002-0071,Minsk,capital,53.900119,27.56749,7
07-002-0072,Minsk,capital,53.896061,27.556226,7
07-002-0073,Minsk,capital,53.896151,27.564158,7
07-002-0074,Minsk,capital,53.889247,27.56467,7
07-002-0075,at,embassy,48.2031237,16.2570368,8
07-002-0076,az,embassy,40.383636,49.876809,8
07-002-0077,am,embassy,40.236503,44.57886,8
07-002-0078,be,embassy,50.815525,4.354166,8
